plant,part,parasite,group,concentration_mgml,timepoint,weight_g,animal_dead,data_flag
M. oleifera,seeds,T. evansi,Positive Control,NA,Infection,20.4,FALSE,NA
M. oleifera,seeds,T. evansi,Positive Control,NA,Post-Infection,22,FALSE,NA
M. oleifera,roots,T. evansi,100mg/ml,100,Pre-Infection,22.07,FALSE,NA
M. oleifera,roots,T. evansi,100mg/ml,100,Infection,21.77,FALSE,NA
M. oleifera,roots,T. evansi,100mg/ml,100,Post-Infection,22.26,FALSE,NA
M. oleifera,roots,T. evansi,10mg/ml,10,Pre-Infection,22.67,FALSE,NA
M. oleifera,roots,T. evansi,10mg/ml,10,Infection,23.93,FALSE,NA
M. oleifera,roots,T. evansi,10mg/ml,10,Post-Infection,24.53,FALSE,NA
M. oleifera,roots,T. evansi,0.5mg/ml,0.5,Pre-Infection,23.63,FALSE,NA
M. oleifera,roots,T. evansi,0.5mg/ml,0.5,Infection,24.7,FALSE,NA
M. oleifera,roots,T. evansi,0.5mg/ml,0.5,Post-Infection,25.07,FALSE,NA
M. oleifera,roots,T. evansi,0.01mg/ml,0.01,Pre-Infection,26.56,FALSE,NA
M. oleifera,roots,T. evansi,0.01mg/ml,0.01,Infection,27.33,FALSE,NA
M. oleifera,roots,T. evansi,0.01mg/ml,0.01,Post-Infection,28.37,FALSE,NA
M. oleifera,roots,T. evansi,0.005mg/ml,0.005,Pre-Infection,23.1,FALSE,NA
M. oleifera,roots,T. evansi,0.005mg/ml,0.005,Infection,24.5,FALSE,NA
M. oleifera,roots,T. evansi,0.005mg/ml,0.005,Post-Infection,25.6,FALSE,NA
M. oleifera,roots,T. evansi,Negative Control,NA,Pre-Infection,26.9,FALSE,NA
M. oleifera,roots,T. evansi,Negative Control,NA,Infection,27.67,FALSE,NA
M. oleifera,roots,T. evansi,Negative Control,NA,Post-Infection,25.23,FALSE,NA
M. oleifera,roots,T. evansi,Positive Control,NA,Pre-Infection,20,FALSE,NA
M. oleifera,roots,T. evansi,Positive Control,NA,Infection,20.6,FALSE,NA
M. oleifera,roots,T. evansi,Positive Control,NA,Post-Infection,22,FALSE,NA
M. oleifera,stem bark,T. evansi,100mg/ml,100,Pre-Infection,18.07,FALSE,NA
M. oleifera,stem bark,T. evansi,100mg/ml,100,Infection,20.2,FALSE,NA
M. oleifera,stem bark,T. evansi,100mg/ml,100,Post-Infection,21.3,FALSE,NA
M. oleifera,stem bark,T. evansi,10mg/ml,10,Pre-Infection,18.93,FALSE,NA
